protein	lifestyle	call	catalytic_residues
Trire2_123989	SAP	intact	EE
Hyafin1_1001378	ERM	intact	EE
Hyafin1_1008486	ERM	intact	EE
Hyafin1_548131	ERM	intact	EE
Hyafin1_983308	ERM	intact	EE
Hyavar1_156919	ERM	intact	EE
Hyavar1_356042	ERM	intact	EE
Hyavar1_398569	ERM	intact	EE
Hyavar1_399753	ERM	intact	EE
Hyavar1_409330	ERM	intact	EE
Hyavar1_461850	ERM	intact	EE
Hyavar1_533762	ERM	intact	EE
Hyavar1_576820	ERM	intact	EE
Hyavar1_578051	ERM	intact	EE
Melbi2_579851	ERM	intact	EE
Melbi2_651150	ERM	intact	EE
Melbi2_714730	ERM	intact	EE
Melbi2_716176	ERM	intact	EE
Tulsp812A_1_237216	ORM	intact	EE
Tulsp812A_1_240684	ORM	intact	EE
Tulsp812A_1_516616	ORM	intact	EE
Tulsp812A_1_541871	ORM	intact	EE
Tulsp812A_1_567015	ORM	intact	EE
Tulsp812A_1_567977	ORM	intact	EE
Tulsp812A_1_616337	ORM	intact	EE
Tulsp812A_1_641172	ORM	intact	EE
Tulsp812A_1_667997	ORM	intact	EE
Tulsp812A_1_674238	ORM	intact	EE
Tulsp812A_1_687391	ORM	intact	EE
Tulsp812A_1_694510	ORM	intact	EE
Tulsp812A_1_749500	ORM	intact	EE
Tulsp812A_1_750956	ORM	intact	EE
Tulsp812A_1_771195	ORM	intact	EE
Tulsp812A_1_781692	ORM	intact	EE
Bissp1_502343	SAP	intact	EE
Bissp1_658349	SAP	intact	EE
Bissp1_701596	SAP	intact	EE
Fibsp1_1038999	SAP	intact	EE
Fibsp1_1039001	SAP	intact	EE
Fibsp1_1039046	SAP	fragment	--
Fibsp1_1040490	SAP	intact	EE
Fibsp1_1042362	SAP	intact	EE
Fibsp1_778802	SAP	intact	EE
Fibsp1_784973	SAP	intact	EE
Fibsp1_791113	SAP	intact	EE
Fibsp1_797041	SAP	intact	EE
Fibsp1_816297	SAP	intact	EE
Fibsp1_816310	SAP	intact	EE
Fibsp1_822440	SAP	intact	EE
Fibsp1_822452	SAP	intact	EE
Fibsp1_838789	SAP	intact	EE
Fibsp1_851865	SAP	intact	EE
Fibsp1_851883	SAP	intact	EE
Fibsp1_851890	SAP	intact	EE
Fibsp1_917435	SAP	intact	EE
Fibsp1_922656	SAP	intact	EE
Fibsp1_927101	SAP	intact	EE
Fibsp1_928416	SAP	intact	EE
Asppari1_364183	PATH	intact	EE
Asppari1_380970	PATH	intact	EE
Asppari1_393285	PATH	intact	EE
Chalo1_354390	SAP	intact	EE
Chalo1_367646	SAP	intact	EE
Chalo1_395636	SAP	intact	EE
Chalo1_396906	SAP	intact	EE
Chalo1_417176	SAP	intact	EE
Chalo1_455060	SAP	intact	EE
Chalo1_458695	SAP	intact	EE
Chalo1_466008	SAP	intact	EE
Chalo1_466913	SAP	intact	EE
Chalo1_488785	SAP	intact	EE
Aurde3_1_1228030	WD	intact	EE
Aurde3_1_1233301	WD	intact	EE
Aurde3_1_1240515	WD	intact	EE
Aurde3_1_1310233	WD	intact	EE
Aurde3_1_1317126	WD	intact	EE
Aurde3_1_199579	WD	intact	EE
Conpu1_131130	WD	intact	EE
Conpu1_146863	WD	intact	EE
Geocar1_162140	ECM	intact	EE
Geocar1_186357	ECM	intact	EE
Geocar1_781383	ECM	intact	EE
Pleost1_1119093	WD	intact	EE
Pleost1_1201397	WD	disrupted	EQ
Pleost1_1203712	WD	intact	EE
Pleost1_1272541	WD	intact	EE
Pleost1_1272740	WD	intact	EE
Pleost1_1273864	WD	intact	EE
Pleost1_1276322	WD	disrupted	EQ
Pleost1_1278234	WD	intact	EE
Pleost1_1284623	WD	intact	EE
Pleost1_1304675	WD	intact	EE
Pleost1_1375362	WD	intact	EE
Pleost1_680056	WD	intact	EE
Pleost1_831090	WD	intact	EE
Pleost1_831591	WD	intact	EE
Pleost1_832029	WD	intact	EE
Pleost1_883945	WD	intact	EE
Crula1_319311	SAP	intact	EE
Crula1_369955	SAP	intact	EE
Crula1_640157	SAP	intact	EE
Crula1_659998	SAP	intact	EE
Crula1_669469	SAP	intact	EE
Crula1_682169	SAP	intact	EE
Crula1_700499	SAP	intact	EE
Crula1_701586	SAP	fragment	-E
Crula1_727072	SAP	intact	EE
Crula1_728517	SAP	intact	EE
Crula1_765988	SAP	intact	EE
Phchr2_137042	WD	disrupted	DE
Phchr2_137372	WD	intact	EE
Phchr2_2971598	WD	intact	EE
Phchr2_2971601	WD	intact	EE
Phchr2_2976245	WD	intact	EE
Phchr2_2976248	WD	intact	EE
Phchr2_3024803	WD	intact	EE
Neucr_trp3_1_5300	SAP	intact	EE
Neucr_trp3_1_6339	SAP	intact	EE
Neucr_trp3_1_9241	SAP	fragment	D-
Neucr_trp3_1_9502	SAP	intact	EE
Neucr_trp3_1_9548	SAP	intact	EE
Kurarg1_101740	ECM	intact	EE
Kurarg1_701977	ECM	intact	EE
Kurarg1_930758	ECM	intact	EE
Stasp1_153778	PATH	intact	EE
Stasp1_217425	PATH	intact	EE
Stasp1_270238	PATH	intact	EE
Stasp1_311682	PATH	intact	EE
Jaaar1_118665	WD	intact	EE
Jaaar1_126700	WD	intact	EE
Jaaar1_201771	WD	intact	EE
Jaaar1_33784	WD	intact	EE
Jaaar1_565455	WD	intact	EE
Sphst1_163456	WD	intact	EE
Sphst1_182270	WD	intact	EE
Sphst1_189736	WD	intact	EE
Sphst1_205747	WD	intact	EE
Sphst1_224400	WD	intact	EE
Sphst1_50335	WD	intact	EE
Sphst1_51218	WD	intact	EE
Sphst1_54354	WD	intact	EE
Sphst1_88689	WD	disrupted	ED
Amath1_142193	SAP	intact	EE
Tripop1_286341	ECM	intact	EE
Oidma1_145458	ERM	intact	EE
Oidma1_162589	ERM	intact	EE
Oidma1_186324	ERM	intact	EE
Oidma1_207711	ERM	intact	EE
Oidma1_40995	ERM	fragment	E-
Oidma1_41633	ERM	intact	EE
Oidma1_44477	ERM	intact	EE
Oidma1_68785	ERM	fragment	--
Altal1_931907	PATH	intact	EE
Altal1_936302	PATH	intact	EE
Altal1_950076	PATH	intact	EE
Altal1_991870	PATH	intact	EE
