protein	lifestyle	call	catalytic_residues
Gyresc1_608288	SAP	intact	EE
Gyresc1_616386	SAP	intact	EE
Suisu1_147482	ECM	intact	EE
Suisu1_17247	ECM	intact	EE
Suisu1_256475	ECM	intact	EE
Suisu1_308455	ECM	intact	EE
Suisu1_424162	ECM	intact	EE
Suisu1_428164	ECM	disrupted	DA
Suisu1_661629	ECM	intact	EE
Suisu1_668821	ECM	disrupted	DG
Suisu1_668956	ECM	intact	EE
Suisu1_711227	ECM	intact	EE
Suisu1_722068	ECM	fragment	-E
Suisu1_724666	ECM	intact	EE
Suisu1_727530	ECM	intact	EE
Suisu1_765166	ECM	intact	EE
Suisu1_789313	ECM	disrupted	DG
Suisu1_789320	ECM	disrupted	DG
Suisu1_789622	ECM	intact	EE
Suisu1_791940	ECM	intact	EE
Suisu1_793675	ECM	intact	EE
Suisu1_815353	ECM	disrupted	DG
Suisu1_820861	ECM	disrupted	DA
Suisu1_839065	ECM	intact	EE
Suisu1_848595	ECM	fragment	D-
Suisu1_866990	ECM	intact	EE
Suisu1_94337	ECM	disrupted	DE
Suipic1_1268994	ECM	intact	EE
Suipic1_1279240	ECM	intact	EE
Suipic1_1281916	ECM	intact	EE
Suipic1_1283543	ECM	intact	EE
Suipic1_1284028	ECM	intact	EE
Suipic1_1284633	ECM	intact	EE
Suipic1_1288558	ECM	intact	EE
Suipic1_1295477	ECM	intact	EE
Suipic1_1296794	ECM	intact	EE
Suipic1_1333194	ECM	intact	EE
Suipic1_1341721	ECM	intact	EE
Suipic1_1371891	ECM	intact	EE
Suipic1_1372073	ECM	disrupted	DG
Suipic1_1379378	ECM	intact	EE
Suipic1_1405220	ECM	intact	EE
Suipic1_1418123	ECM	intact	EE
Suipic1_1418126	ECM	intact	EE
Suipic1_1450952	ECM	intact	EE
Suipic1_1454388	ECM	intact	EE
Suipic1_1494312	ECM	fragment	-E
Suipic1_1616329	ECM	intact	EE
Suipic1_65630	ECM	intact	EE
Canta1_312164	YEAST	intact	EE
Canta1_4811	YEAST	intact	EE
Canta1_89876	YEAST	intact	EE
Canta1_91848	YEAST	intact	EE
Canta1_97630	YEAST	intact	EE
Kalpfe1_653835	ECM	intact	EE
Kalpfe1_654425	ECM	intact	EE
Kalpfe1_660936	ECM	intact	EE
Kalpfe1_674188	ECM	intact	EE
Kalpfe1_719004	ECM	intact	EE
Kalpfe1_770499	ECM	intact	EE
Kalpfe1_771121	ECM	intact	EE
Kalpfe1_777266	ECM	intact	EE
Kalpfe1_838949	ECM	intact	EE
Kalpfe1_844152	ECM	disrupted	ED
Suidis1_115106	ECM	intact	EE
Suidis1_569813	ECM	intact	EE
Suidis1_585960	ECM	intact	EE
Suidis1_636950	ECM	intact	EE
Suidis1_641332	ECM	intact	EE
Suidis1_660251	ECM	intact	EE
Suidis1_669362	ECM	intact	EE
Suidis1_685691	ECM	disrupted	DA
Suidis1_702035	ECM	intact	EE
Suidis1_714025	ECM	intact	EE
Suidis1_718009	ECM	intact	EE
Suidis1_721636	ECM	intact	EE
Suidis1_731384	ECM	intact	EE
Suidis1_733558	ECM	intact	EE
Suidis1_748942	ECM	intact	EE
Suidis1_806808	ECM	intact	EE
Suidis1_840584	ECM	intact	EE
Suidis1_840926	ECM	intact	EE
Paxru2_143507	ECM	intact	EE
Paxru2_169079	ECM	intact	EE
Paxru2_1801271	ECM	intact	EE
Paxru2_1837406	ECM	disrupted	RE
Paxru2_236004	ECM	disrupted	DG
Paxru2_24807	ECM	intact	EE
Paxru2_30380	ECM	intact	EE
Paxru2_623022	ECM	intact	EE
Paxru2_769416	ECM	intact	EE
Paxru2_782788	ECM	intact	EE
Paxru2_823114	ECM	intact	EE
Paxru2_825181	ECM	intact	EE
Paxru2_828537	ECM	intact	EE
Paxru2_830410	ECM	intact	EE
Paxru2_9068	ECM	intact	EE
Suipse1_1013424	ECM	intact	EE
Suipse1_1015829	ECM	intact	EE
Suipse1_1015834	ECM	intact	EE
Suipse1_1019922	ECM	intact	EE
Suipse1_1038835	ECM	intact	EE
Suipse1_1045975	ECM	fragment	-E
Suipse1_1046237	ECM	disrupted	DG
Suipse1_1064595	ECM	intact	EE
Suipse1_1064642	ECM	intact	EE
Suipse1_1136259	ECM	disrupted	DG
Suipse1_1138660	ECM	disrupted	NE
Suipse1_1153441	ECM	intact	EE
Suipse1_1220405	ECM	intact	EE
Suipse1_707373	ECM	intact	EE
Suipse1_834514	ECM	intact	EE
Suipse1_841133	ECM	intact	EE
Suipse1_844578	ECM	intact	EE
Suipse1_845814	ECM	disrupted	NE
Suipse1_848840	ECM	intact	EE
Lacbi2_152096	ECM	intact	EE
Lacbi2_159097	ECM	intact	EE
Lacbi2_172826	ECM	intact	EE
Lacbi2_174798	ECM	intact	EE
Lacbi2_182889	ECM	intact	EE
Lacbi2_185358	ECM	intact	EE
Lacbi2_189357	ECM	intact	EE
Lacbi2_190947	ECM	intact	EE
Lacbi2_243581	ECM	intact	EE
Lacbi2_252641	ECM	intact	EE
Lacbi2_292256	ECM	disrupted	DG
Lacbi2_294893	ECM	disrupted	DA
Lacbi2_298970	ECM	intact	EE
Lacbi2_307733	ECM	intact	EE
Lacbi2_313918	ECM	intact	EE
Lacbi2_319772	ECM	intact	EE
Lacbi2_331446	ECM	intact	EE
Lacbi2_387953	ECM	intact	EE
Lacbi2_460250	ECM	intact	EE
Lacbi2_466907	ECM	intact	EE
Piswes1_2279019	ECM	intact	EE
Piswes1_3454259	ECM	intact	EE
Piswes1_3465881	ECM	intact	EE
Piswes1_3472341	ECM	intact	EE
Piswes1_3474989	ECM	intact	EE
Piswes1_3587568	ECM	intact	EE
Piswes1_3633451	ECM	intact	EE
Piswes1_3919900	ECM	intact	EE
Piswes1_4031025	ECM	disrupted	DA
Gaumor1_1_2713618	ECM	intact	EE
Gaumor1_1_2717279	ECM	intact	EE
Gaumor1_1_2718731	ECM	intact	EE
Gaumor1_1_2719110	ECM	intact	EE
Gaumor1_1_2891331	ECM	intact	EE
Gaumor1_1_2929009	ECM	intact	EE
Gaumor1_1_2976609	ECM	intact	EE
Gaumor1_1_2980761	ECM	disrupted	DG
Gaumor1_1_3083680	ECM	intact	EE
Gaumor1_1_3102907	ECM	intact	EE
Gaumor1_1_3106700	ECM	intact	EE
Gaumor1_1_3125480	ECM	intact	EE
Gaumor1_1_3145077	ECM	intact	EE
Gaumor1_1_3196997	ECM	intact	EE
Neole1_1051277	WD	intact	EE
Neole1_1053855	WD	intact	EE
Neole1_1059509	WD	intact	EE
Neole1_1064892	WD	fragment	-E
Neole1_1076267	WD	intact	EE
Neole1_1079818	WD	intact	EE
Neole1_1082439	WD	intact	EE
Neole1_1102931	WD	intact	EE
Neole1_1127186	WD	intact	EE
Neole1_1128792	WD	intact	EE
Neole1_1129241	WD	intact	EE
Neole1_1130407	WD	intact	EE
Neole1_1132025	WD	disrupted	DA
Neole1_1132312	WD	intact	EE
Neole1_1139983	WD	intact	EE
Neole1_1178032	WD	intact	EE
Neole1_1238278	WD	intact	EE
Neole1_1241633	WD	intact	EE
Neole1_149224	WD	intact	EE
Neole1_171387	WD	intact	EE
Neole1_262300	WD	intact	EE
Neole1_501168	WD	intact	EE
Tylfel1_1820266	ECM	intact	EE
Tylfel1_2148018	ECM	intact	EE
Tylfel1_2204459	ECM	intact	EE
Tylfel1_2223042	ECM	intact	EE
Tylfel1_2231257	ECM	intact	EE
Tylfel1_2237338	ECM	intact	EE
Tylfel1_2263776	ECM	intact	EE
Tylfel1_2276256	ECM	intact	EE
Tylfel1_2281624	ECM	intact	EE
Tylfel1_2282931	ECM	intact	EE
Tylfel1_2287545	ECM	intact	EE
Tylfel1_2303615	ECM	disrupted	DG
Tylfel1_2313766	ECM	intact	EE
RusbicECM9_1_215510	ECM	disrupted	DA
RusbicECM9_1_563926	ECM	intact	EE
RusbicECM9_1_567767	ECM	intact	EE
RusbicECM9_1_575327	ECM	intact	EE
RusbicECM9_1_594380	ECM	intact	EE
RusbicECM9_1_641480	ECM	intact	EE
RusbicECM9_1_675724	ECM	intact	EE
RusbicECM9_1_690337	ECM	intact	EE
RusbicECM9_1_712598	ECM	intact	EE
Leuca1_1064996	ECM	intact	EE
Leuca1_1068948	ECM	intact	EE
Leuca1_1087341	ECM	intact	EE
Leuca1_1101852	ECM	intact	EE
Leuca1_986939	ECM	intact	EE
Leuca1_991630	ECM	intact	EE
Melva1_317120	ERM	intact	EE
Melva1_417388	ERM	intact	EE
Melva1_424997	ERM	fragment	-Q
Melva1_425578	ERM	intact	EE
Melva1_444094	ERM	fragment	-E
Melva1_466574	ERM	intact	EE
Melva1_466905	ERM	intact	EE
Melva1_477625	ERM	intact	EE
Melva1_490316	ERM	intact	EE
Melva1_499442	ERM	disrupted	EK
Melva1_505780	ERM	intact	EE
Melva1_507152	ERM	intact	EE
Melva1_511528	ERM	intact	EE
Melva1_514506	ERM	intact	EE
Melva1_533255	ERM	intact	EE
Melva1_542349	ERM	fragment	-E
Melva1_543681	ERM	intact	EE
Melva1_548277	ERM	disrupted	ES
Melva1_551172	ERM	fragment	E-
Melva1_555440	ERM	intact	EE
Melva1_556684	ERM	intact	EE
Melva1_557801	ERM	intact	EE
Melva1_578133	ERM	intact	EE
Melva1_578417	ERM	intact	EE
Melva1_580651	ERM	intact	EE
Melva1_591672	ERM	intact	EE
Melva1_599206	ERM	intact	EE
Melva1_627619	ERM	intact	EE
Melva1_632789	ERM	intact	EE
Melva1_635715	ERM	intact	EE
Melva1_637478	ERM	fragment	E-
Melva1_637481	ERM	intact	EE
Melva1_642511	ERM	intact	EE
Ruseme1_1144656	ECM	intact	EE
Ruseme1_1618670	ECM	intact	EE
Ruseme1_1636919	ECM	intact	EE
Ruseme1_1663250	ECM	disrupted	DA
Ruseme1_1711825	ECM	intact	EE
Ruseme1_1726488	ECM	intact	EE
Ruseme1_1795510	ECM	intact	EE
Ruseme1_1897183	ECM	intact	EE
Ruseme1_1903966	ECM	intact	EE
Ruscom1_137950	ECM	intact	EE
Ruscom1_466018	ECM	intact	EE
Ruscom1_792444	ECM	disrupted	DA
Ruscom1_83499	ECM	intact	EE
Ruscom1_836245	ECM	intact	EE
Ruscom1_870473	ECM	intact	EE
Ruscom1_876677	ECM	intact	EE
Ruscom1_879238	ECM	intact	EE
Ruscom1_879887	ECM	intact	EE
Ruscom1_880420	ECM	intact	EE
Ruscom1_952981	ECM	intact	EE
Suipun1_1526028	ECM	intact	EE
Suipun1_1532779	ECM	disrupted	DG
Suipun1_1590970	ECM	intact	EE
Suipun1_1643762	ECM	intact	EE
Suipun1_1665551	ECM	fragment	--
Suipun1_1667530	ECM	intact	EE
Suipun1_1672506	ECM	intact	EE
Suipun1_1672507	ECM	intact	EE
Suipun1_1672861	ECM	intact	EE
Suipun1_1673321	ECM	disrupted	DG
Suipun1_1685124	ECM	intact	EE
Suipun1_1686240	ECM	intact	EE
Suipun1_1687804	ECM	intact	EE
Suipun1_1710139	ECM	disrupted	NE
Suipun1_172452	ECM	intact	EE
Suipun1_1743711	ECM	intact	EE
Suipun1_1745316	ECM	intact	EE
Suipun1_1748465	ECM	intact	EE
Suipun1_1758534	ECM	intact	EE
Suicol1_100266	ECM	disrupted	DG
Suicol1_1140708	ECM	intact	EE
Suicol1_1160142	ECM	disrupted	DG
Suicol1_1202555	ECM	intact	EE
Suicol1_1494532	ECM	intact	EE
Suicol1_1834391	ECM	intact	EE
Suicol1_1835384	ECM	intact	EE
Suicol1_1837049	ECM	intact	EE
Suicol1_1839155	ECM	intact	EE
Suicol1_1841167	ECM	intact	EE
Suicol1_1911110	ECM	intact	EE
Suicol1_1932247	ECM	disrupted	DG
Suicol1_1956510	ECM	intact	EE
Suicol1_2087355	ECM	intact	EE
Suicol1_2087945	ECM	disrupted	DG
Suicol1_2107867	ECM	intact	EE
Suicol1_2107868	ECM	intact	EE
Suicol1_2163577	ECM	intact	EE
Suicol1_238202	ECM	intact	EE
Tirniv1_278522	ECM	fragment	E-
Tirniv1_527210	ECM	intact	EE
Tirniv1_528959	ECM	intact	EE
Tirniv1_532285	ECM	intact	EE
Tirniv1_533538	ECM	intact	EE
Tirniv1_583486	ECM	intact	EE
Tirniv1_634784	ECM	fragment	-E
Tirniv1_668314	ECM	fragment	-E
Tirniv1_669088	ECM	fragment	-E
Xylhyp1_148567	SAP	intact	EE
Xylhyp1_268305	SAP	intact	EE
Xylhyp1_452300	SAP	intact	EE
Xylhyp1_459818	SAP	intact	EE
Xylhyp1_473048	SAP	intact	EE
Xylhyp1_484782	SAP	disrupted	ES
Xylhyp1_485280	SAP	intact	EE
Xylhyp1_512297	SAP	intact	EE
Xylhyp1_547185	SAP	intact	EE
Xylhyp1_551401	SAP	intact	EE
Xylhyp1_552509	SAP	intact	EE
Xylhyp1_565523	SAP	intact	EE
Xylhyp1_571481	SAP	intact	EE
Xylhyp1_589054	SAP	intact	EE
Xylhyp1_603839	SAP	intact	EE
Xylhyp1_607436	SAP	intact	EE
Xylhyp1_612672	SAP	intact	EE
Xylhyp1_619908	SAP	intact	EE
Suielb1_1024339	ECM	intact	EE
Suielb1_1034871	ECM	intact	EE
Suielb1_1093546	ECM	disrupted	DG
Suielb1_1121984	ECM	intact	EE
Suielb1_1183777	ECM	intact	EE
Suielb1_1184592	ECM	intact	EE
Suielb1_1189653	ECM	intact	EE
Suielb1_1203599	ECM	disrupted	DG
Suielb1_1280813	ECM	intact	EE
Suielb1_133250	ECM	intact	EE
Suielb1_226249	ECM	intact	EE
Suielb1_339687	ECM	intact	EE
Suielb1_503513	ECM	intact	EE
Suielb1_521878	ECM	intact	EE
Suielb1_820944	ECM	intact	EE
Tubcan1_1068901	ECM	intact	EE
Tubcan1_476733	ECM	intact	EE
Tubcan1_958728	ECM	intact	EE
Tubcan1_985179	ECM	intact	EE
Descmac1_1084589	ECM	intact	EE
Descmac1_2000074	ECM	disrupted	DA
Descmac1_2522087	ECM	intact	EE
Descmac1_2543943	ECM	intact	EE
Descmac1_2546230	ECM	intact	EE
Descmac1_2588625	ECM	intact	EE
Descmac1_2633031	ECM	intact	EE
Descmac1_2651921	ECM	intact	EE
Descmac1_2655149	ECM	intact	EE
Descmac1_2657931	ECM	intact	EE
Descmac1_2729496	ECM	intact	EE
Descmac1_2838126	ECM	intact	EE
Descmac1_2901502	ECM	intact	EE
Descmac1_2913089	ECM	disrupted	GE
Descmac1_2913462	ECM	intact	EE
Descmac1_3027410	ECM	intact	EE
Descmac1_3072726	ECM	disrupted	DG
Xylhe1_208436	ENDO	intact	EE
Xylhe1_212702	ENDO	intact	EE
Xylhe1_247814	ENDO	intact	EE
Xylhe1_248577	ENDO	intact	EE
Xylhe1_252707	ENDO	intact	EE
Pilbys1_1173624	ECM	intact	EE
Pilbys1_1175711	ECM	intact	EE
Pilbys1_1208108	ECM	intact	EE
Pilbys1_1300060	ECM	disrupted	DG
Pilbys1_1334765	ECM	intact	EE
Pilbys1_1340529	ECM	intact	EE
Pilbys1_1382695	ECM	disrupted	DA
Pilbys1_1382718	ECM	disrupted	DA
Pilbys1_1385828	ECM	disrupted	DA
Pilbys1_1385864	ECM	disrupted	DA
Pilbys1_1391653	ECM	disrupted	DA
Pilbys1_1422464	ECM	intact	EE
Pilbys1_1423950	ECM	intact	EE
Pilbys1_1434842	ECM	disrupted	ER
Pilbys1_1460725	ECM	intact	EE
Pilbys1_1565200	ECM	intact	EE
Pilbys1_623279	ECM	intact	EE
Amore1_109248	SAP	intact	EE
Amore1_110282	SAP	intact	EE
Amore1_118575	SAP	intact	EE
Amore1_144401	SAP	intact	EE
Amore1_22815	SAP	intact	EE
Amore1_23067	SAP	intact	EE
Amore1_24878	SAP	intact	EE
Amore1_28270	SAP	intact	EE
Amore1_50138	SAP	intact	EE
Amore1_86661	SAP	intact	EE
Rusnee1_2316588	ECM	intact	EE
Rusnee1_2426623	ECM	intact	EE
Rusnee1_2452961	ECM	intact	EE
Rusnee1_2452969	ECM	intact	EE
Rusnee1_2458990	ECM	intact	EE
Rusnee1_2459488	ECM	intact	EE
Rusnee1_2466470	ECM	intact	EE
Rusnee1_2541217	ECM	intact	EE
Rusnee1_2656973	ECM	intact	EE
Rusnee1_960534	ECM	disrupted	DA
Corsan2_1639307	ECM	intact	EE
Corsan2_1809610	ECM	intact	EE
Corsan2_1818870	ECM	intact	EE
Corsan2_1847153	ECM	fragment	-E
Corsan2_1847559	ECM	intact	EE
Corsan2_1848018	ECM	intact	EE
Corsan2_1869676	ECM	intact	EE
Corsan2_1876760	ECM	fragment	E-
Corsan2_2274141	ECM	intact	EE
Corsan2_2304614	ECM	intact	EE
Corsan2_2598600	ECM	disrupted	DG
Corsan2_2602176	ECM	intact	EE
Corsan2_2670067	ECM	intact	EE
Corsan2_2708317	ECM	intact	EE
Corsan2_2752375	ECM	intact	EE
Corsan2_2758319	ECM	intact	EE
Corsan2_2759496	ECM	intact	EE
Corsan2_2786907	ECM	intact	EE
Corsan2_339580	ECM	intact	EE
Rusdis1_1124443	ECM	intact	EE
Rusdis1_1128134	ECM	intact	EE
Rusdis1_1132131	ECM	intact	EE
Rusdis1_1135662	ECM	intact	EE
Rusdis1_1135701	ECM	intact	EE
Rusdis1_1146268	ECM	intact	EE
Rusdis1_1154096	ECM	intact	EE
Rusdis1_1156185	ECM	fragment	-E
Rusdis1_1184735	ECM	intact	EE
Rusdis1_1246667	ECM	intact	EE
Rusdis1_1248753	ECM	intact	EE
Rusdis1_494065	ECM	disrupted	KE
Rusdis1_687502	ECM	disrupted	DA
Suivar1_126799	ECM	disrupted	DA
Suivar1_1308345	ECM	intact	EE
Suivar1_1309473	ECM	intact	EE
Suivar1_1324474	ECM	intact	EE
Suivar1_1341226	ECM	intact	EE
Suivar1_1349399	ECM	intact	EE
Suivar1_1351840	ECM	fragment	-V
Suivar1_1411636	ECM	intact	EE
Suivar1_1414507	ECM	intact	EE
Suivar1_1432086	ECM	intact	EE
Suivar1_1530084	ECM	intact	EE
Suivar1_1532115	ECM	intact	EE
Suivar1_1537592	ECM	intact	EE
Suivar1_1542196	ECM	intact	EE
Suivar1_1542635	ECM	fragment	-A
Suivar1_1565452	ECM	disrupted	DG
Suivar1_1601867	ECM	intact	EE
Suivar1_458012	ECM	intact	EE
Suivar1_666199	ECM	intact	EE
Paxin1_132413	ECM	intact	EE
Paxin1_141870	ECM	fragment	E-
Paxin1_154780	ECM	fragment	K-
Paxin1_161471	ECM	fragment	-E
Paxin1_164458	ECM	intact	EE
Paxin1_165343	ECM	intact	EE
Paxin1_165852	ECM	intact	EE
Paxin1_166528	ECM	intact	EE
Paxin1_168076	ECM	disrupted	DG
Paxin1_168956	ECM	intact	EE
Paxin1_171666	ECM	intact	EE
Paxin1_17978	ECM	fragment	-E
Paxin1_73315	ECM	intact	EE
Paxin1_74474	ECM	intact	EE
Paxin1_78895	ECM	intact	EE
Paxin1_7915	ECM	intact	EE
Paxin1_83747	ECM	intact	EE
Paxin1_85416	ECM	intact	EE
MelPMI1271_1_108609	ERM	intact	EE
MelPMI1271_1_256088	ERM	fragment	E-
MelPMI1271_1_293208	ERM	intact	EE
MelPMI1271_1_300712	ERM	intact	EE
MelPMI1271_1_303527	ERM	intact	EE
MelPMI1271_1_307314	ERM	intact	EE
MelPMI1271_1_347821	ERM	intact	EE
MelPMI1271_1_354003	ERM	intact	EE
MelPMI1271_1_418888	ERM	intact	EE
MelPMI1271_1_425546	ERM	intact	EE
MelPMI1271_1_426366	ERM	intact	EE
MelPMI1271_1_431268	ERM	intact	EE
MelPMI1271_1_451004	ERM	intact	EE
MelPMI1271_1_451394	ERM	intact	EE
MelPMI1271_1_466878	ERM	intact	EE
MelPMI1271_1_472991	ERM	intact	EE
MelPMI1271_1_481958	ERM	intact	EE
MelPMI1271_1_486588	ERM	intact	EE
MelPMI1271_1_502085	ERM	fragment	E-
MelPMI1271_1_523162	ERM	intact	EE
Cananz1_2910608	ECM	intact	EE
Cananz1_2913586	ECM	intact	EE
Cananz1_2913591	ECM	intact	EE
Cananz1_2918148	ECM	intact	EE
Cananz1_2923627	ECM	intact	EE
Cananz1_2938539	ECM	intact	EE
Cananz1_2969682	ECM	intact	EE
Cananz1_2997680	ECM	intact	EE
Cananz1_3032451	ECM	intact	EE
Cananz1_3115612	ECM	intact	EE
Cananz1_3115613	ECM	intact	EE
Cananz1_3144127	ECM	intact	EE
Cananz1_3154805	ECM	intact	EE
Cananz1_319881	ECM	intact	EE
Sclci1_1207586	ECM	intact	EE
Sclci1_1212399	ECM	disrupted	DS
Sclci1_1212632	ECM	intact	EE
Sclci1_1216732	ECM	intact	EE
Sclci1_1217200	ECM	intact	EE
Sclci1_1220404	ECM	disrupted	DS
Sclci1_1222125	ECM	intact	EE
Sclci1_1224120	ECM	intact	EE
