protein	lifestyle	call	catalytic_residues
Ser411_1_1097906	ORM	disrupted	HD
Ser411_1_1240067	ORM	disrupted	HD
Ser411_1_1240900	ORM	disrupted	HD
Ser411_1_1264218	ORM	fragment	H-
Ser411_1_1265133	ORM	fragment	H-
Ser411_1_1268103	ORM	fragment	H-
Ser411_1_1284458	ORM	fragment	H-
Ser411_1_1286549	ORM	disrupted	HE
Ser411_1_1369726	ORM	fragment	H-
Ser411_1_1370567	ORM	disrupted	QD
Ser411_1_1390411	ORM	fragment	H-
Ser411_1_1392120	ORM	disrupted	HS
Ser411_1_1395061	ORM	fragment	--
Ser411_1_1395592	ORM	fragment	H-
Ser411_1_1397450	ORM	disrupted	HD
Ser411_1_1397452	ORM	disrupted	HD
Ser411_1_1397455	ORM	disrupted	HE
Ser411_1_232228	ORM	disrupted	HE
Ser411_1_361521	ORM	fragment	F-
Ser411_1_361554	ORM	fragment	H-
Ser411_1_366663	ORM	disrupted	HD
Ser411_1_45104	ORM	fragment	--
Ser411_1_49358	ORM	fragment	H-
Ser411_1_689634	ORM	disrupted	HD
Ser411_1_689689	ORM	disrupted	HD
Ser411_1_763625	ORM	disrupted	HD
Ser411_1_813934	ORM	fragment	H-
Ser411_1_875296	ORM	fragment	--
Suiac1_2638837	ECM	fragment	H-
Suiac1_2743535	ECM	fragment	H-
Suiac1_611246	ECM	fragment	H-
Gyresc1_119315	SAP	fragment	-S
Gyresc1_158694	SAP	disrupted	HD
Gyresc1_452548	SAP	disrupted	HE
Gyresc1_466217	SAP	fragment	H-
Gyresc1_473305	SAP	fragment	H-
Gyresc1_474642	SAP	disrupted	HE
Gyresc1_477501	SAP	disrupted	HD
Gyresc1_478179	SAP	disrupted	HD
Gyresc1_493897	SAP	fragment	H-
Gyresc1_508466	SAP	disrupted	HV
Gyresc1_512109	SAP	disrupted	HD
Gyresc1_512544	SAP	fragment	H-
Gyresc1_514151	SAP	fragment	H-
Gyresc1_518922	SAP	fragment	H-
Gyresc1_519519	SAP	disrupted	HG
Gyresc1_520842	SAP	disrupted	HT
Gyresc1_525099	SAP	disrupted	HD
Gyresc1_577272	SAP	disrupted	HE
Gyresc1_582398	SAP	disrupted	HG
Gyresc1_582921	SAP	disrupted	HD
Gyresc1_584256	SAP	fragment	H-
Gyresc1_584476	SAP	fragment	H-
Gyresc1_586529	SAP	fragment	H-
Gyresc1_595317	SAP	disrupted	HS
Gyresc1_600142	SAP	disrupted	HD
Gyresc1_607383	SAP	disrupted	HD
Gyresc1_615285	SAP	fragment	H-
Gyresc1_619747	SAP	disrupted	HD
Suisu1_125894	ECM	fragment	H-
Suisu1_795624	ECM	fragment	H-
Suisu1_908184	ECM	fragment	H-
Suipic1_1363286	ECM	fragment	H-
Suipic1_1428258	ECM	fragment	H-
Suipic1_1448722	ECM	fragment	H-
Suipic1_1494034	ECM	fragment	H-
Kalpfe1_145680	ECM	disrupted	HS
Kalpfe1_634137	ECM	fragment	--
Kalpfe1_642501	ECM	fragment	H-
Kalpfe1_644587	ECM	disrupted	HE
Kalpfe1_644792	ECM	fragment	-D
Kalpfe1_669753	ECM	fragment	--
Kalpfe1_678104	ECM	fragment	H-
Kalpfe1_681178	ECM	disrupted	HA
Kalpfe1_721429	ECM	disrupted	HD
Kalpfe1_764775	ECM	fragment	--
Kalpfe1_786845	ECM	fragment	H-
Kalpfe1_795527	ECM	fragment	H-
Suidis1_377391	ECM	fragment	H-
Suidis1_715459	ECM	fragment	H-
Suidis1_781175	ECM	fragment	K-
Paxru2_137601	ECM	fragment	H-
Paxru2_1709920	ECM	fragment	H-
Paxru2_825517	ECM	fragment	H-
Suipse1_1155586	ECM	fragment	H-
Suipse1_707089	ECM	fragment	H-
Lacbi2_186824	ECM	fragment	H-
Lacbi2_294705	ECM	fragment	H-
Lacbi2_307143	ECM	disrupted	HD
Piswes1_2345890	ECM	fragment	H-
Piswes1_3448277	ECM	fragment	H-
Piswes1_3475313	ECM	fragment	H-
Gaumor1_1_2808808	ECM	fragment	H-
Gaumor1_1_3082743	ECM	fragment	--
Neole1_1054528	WD	disrupted	HS
Neole1_1135131	WD	fragment	H-
Neole1_1144520	WD	disrupted	HS
Tylfel1_2260693	ECM	fragment	H-
Tylfel1_2324095	ECM	fragment	H-
Tylfel1_346965	ECM	fragment	H-
RusbicECM9_1_384	ECM	fragment	H-
RusbicECM9_1_604596	ECM	fragment	H-
Leuca1_2921	ECM	disrupted	HD
Leuca1_544233	ECM	disrupted	HG
Leuca1_974158	ECM	disrupted	HG
Melva1_100935	ERM	disrupted	DN
Melva1_396098	ERM	disrupted	HT
Melva1_418418	ERM	fragment	H-
Melva1_420202	ERM	fragment	H-
Melva1_423282	ERM	disrupted	HL
Melva1_425826	ERM	fragment	H-
Melva1_461173	ERM	disrupted	HT
Melva1_469799	ERM	fragment	H-
Melva1_493383	ERM	disrupted	HD
Melva1_495976	ERM	fragment	H-
Melva1_501119	ERM	fragment	H-
Melva1_502026	ERM	disrupted	HT
Melva1_502927	ERM	fragment	H-
Melva1_524130	ERM	fragment	H-
Melva1_545436	ERM	disrupted	HD
Melva1_576457	ERM	disrupted	DD
Melva1_576757	ERM	disrupted	HK
Melva1_579847	ERM	disrupted	HD
Melva1_588072	ERM	fragment	H-
Melva1_610347	ERM	disrupted	HE
Melva1_611066	ERM	disrupted	HT
Melva1_613360	ERM	fragment	H-
Melva1_617177	ERM	fragment	H-
Melva1_621145	ERM	fragment	H-
Ruseme1_1648948	ECM	fragment	--
Ruseme1_1792725	ECM	fragment	H-
Ruscom1_285049	ECM	fragment	H-
Ruscom1_785333	ECM	fragment	H-
Suipun1_1627478	ECM	fragment	H-
Suipun1_1745254	ECM	fragment	H-
Suicol1_1999404	ECM	fragment	M-
Suicol1_2000046	ECM	fragment	H-
Suicol1_2030917	ECM	fragment	M-
Tirniv1_531330	ECM	fragment	H-
Tirniv1_540650	ECM	fragment	D-
Tirniv1_643843	ECM	disrupted	HD
Tirniv1_672904	ECM	fragment	--
Tirniv1_682469	ECM	fragment	-D
Tirniv1_708108	ECM	fragment	H-
Tirniv1_710182	ECM	disrupted	HA
Xylhyp1_111374	SAP	disrupted	HR
Xylhyp1_168370	SAP	disrupted	HE
Xylhyp1_334092	SAP	disrupted	HD
Xylhyp1_466076	SAP	disrupted	HE
Xylhyp1_471501	SAP	disrupted	HE
Xylhyp1_497044	SAP	disrupted	HG
Xylhyp1_503803	SAP	fragment	H-
Xylhyp1_504304	SAP	disrupted	HD
Xylhyp1_535456	SAP	disrupted	HG
Xylhyp1_545645	SAP	fragment	H-
Xylhyp1_548233	SAP	fragment	H-
Xylhyp1_552474	SAP	fragment	H-
Xylhyp1_567644	SAP	disrupted	HG
Xylhyp1_572670	SAP	fragment	H-
Xylhyp1_574776	SAP	disrupted	HD
Xylhyp1_575165	SAP	disrupted	HD
Xylhyp1_576746	SAP	fragment	H-
Xylhyp1_585037	SAP	fragment	H-
Xylhyp1_590893	SAP	disrupted	HG
Xylhyp1_599190	SAP	fragment	H-
Xylhyp1_600474	SAP	fragment	--
Xylhyp1_601347	SAP	fragment	H-
Xylhyp1_603687	SAP	fragment	H-
Suielb1_1156604	ECM	fragment	--
Suielb1_1181627	ECM	fragment	H-
Tubcan1_1010550	ECM	disrupted	HQ
Tubcan1_1102485	ECM	disrupted	HG
Tubcan1_1132371	ECM	disrupted	HD
Tubcan1_895714	ECM	disrupted	HG
Descmac1_2513831	ECM	fragment	H-
Descmac1_2660863	ECM	fragment	H-
Descmac1_2728787	ECM	fragment	H-
Descmac1_2728833	ECM	fragment	H-
Descmac1_2769860	ECM	fragment	H-
Descmac1_2975761	ECM	fragment	H-
Xylhe1_41565	ENDO	disrupted	HG
Pilbys1_1378141	ECM	disrupted	HT
Pilbys1_1389801	ECM	fragment	H-
Amore1_140774	SAP	disrupted	HN
Rusnee1_2546703	ECM	fragment	H-
Rusnee1_2648815	ECM	fragment	H-
Corsan2_1877201	ECM	fragment	H-
Corsan2_227095	ECM	fragment	H-
Corsan2_2538951	ECM	fragment	H-
Corsan2_2545125	ECM	fragment	H-
Corsan2_2554970	ECM	fragment	H-
Corsan2_2599819	ECM	intact	HH
Corsan2_2706829	ECM	fragment	H-
Rusdis1_1159628	ECM	fragment	H-
Suivar1_1324132	ECM	fragment	H-
Suivar1_1408637	ECM	fragment	H-
Suivar1_1624095	ECM	fragment	--
Paxin1_11380	ECM	fragment	H-
Paxin1_133034	ECM	fragment	H-
Paxin1_168805	ECM	fragment	H-
Paxin1_168806	ECM	fragment	H-
MelPMI1271_1_399850	ERM	disrupted	HS
MelPMI1271_1_413614	ERM	disrupted	HD
MelPMI1271_1_455655	ERM	disrupted	HN
MelPMI1271_1_457963	ERM	fragment	-Q
MelPMI1271_1_462217	ERM	disrupted	HS
MelPMI1271_1_470949	ERM	fragment	--
MelPMI1271_1_507052	ERM	fragment	H-
MelPMI1271_1_517707	ERM	fragment	H-
Cananz1_2921942	ECM	fragment	H-
Cananz1_2946388	ECM	fragment	H-
Cananz1_2977690	ECM	disrupted	HG
Cananz1_2999048	ECM	disrupted	HG
Cananz1_3047507	ECM	disrupted	HS
Cananz1_3047510	ECM	disrupted	HN
Cananz1_3061491	ECM	disrupted	HP
Cananz1_3123990	ECM	disrupted	HD
Sclci1_1224830	ECM	fragment	H-
Sclci1_142629	ECM	fragment	H-
Sclci1_86833	ECM	fragment	H-
Lactab1_1355047	ECM	fragment	H-
Lactab1_1356036	ECM	fragment	Q-
Lactab1_1357195	ECM	fragment	H-
Lactab1_2532203	ECM	fragment	H-
Lactab1_2649408	ECM	fragment	H-
Rusoch1_191296	ECM	fragment	E-
Rusoch1_655774	ECM	fragment	H-
Rusoch1_767161	ECM	fragment	H-
Sisni1_172947	WD	fragment	H-
Sisni1_254436	WD	fragment	H-
Sisni1_290249	WD	disrupted	HE
Sisni1_407033	WD	disrupted	HE
Sisni1_424768	WD	fragment	H-
Sisni1_450715	WD	disrupted	HE
Sisni1_450757	WD	fragment	H-
Sisni1_450926	WD	fragment	H-
Sisni1_453171	WD	fragment	H-
Sisni1_455249	WD	disrupted	HD
Sisni1_455912	WD	fragment	H-
Sisni1_466563	WD	disrupted	HD
Sisni1_482613	WD	fragment	H-
Sisni1_484142	WD	fragment	--
Sisni1_484953	WD	disrupted	TD
Sisni1_486182	WD	disrupted	HD
Sisni1_486183	WD	disrupted	HD
Sisni1_487925	WD	fragment	G-
Sisni1_489162	WD	disrupted	HD
Sisni1_498210	WD	fragment	H-
Sisni1_547739	WD	fragment	H-
Sisni1_552428	WD	fragment	H-
Plicr1_126893	WD	fragment	H-
Plicr1_137502	WD	disrupted	RD
Plicr1_174224	WD	disrupted	HD
Plicr1_37309	WD	fragment	H-
Plicr1_42257	WD	fragment	-E
Plicr1_46533	WD	disrupted	HD
Plicr1_55936	WD	fragment	H-
Plicr1_74490	WD	fragment	H-
Plicr1_86186	WD	disrupted	HD
ClaPMI390_1371184	SAP	fragment	H-
ClaPMI390_1571220	SAP	disrupted	HG
ClaPMI390_1670571	SAP	fragment	H-
ClaPMI390_2033900	SAP	disrupted	HD
ClaPMI390_2041603	SAP	fragment	--
ClaPMI390_2053456	SAP	fragment	H-
ClaPMI390_2060675	SAP	fragment	--
ClaPMI390_2062406	SAP	fragment	H-
ClaPMI390_2062409	SAP	disrupted	HD
ClaPMI390_2068470	SAP	fragment	--
ClaPMI390_2070245	SAP	disrupted	HE
ClaPMI390_2077651	SAP	fragment	--
ClaPMI390_2099611	SAP	fragment	H-
ClaPMI390_2123645	SAP	disrupted	HE
ClaPMI390_2127487	SAP	disrupted	HD
ClaPMI390_2127611	SAP	fragment	H-
ClaPMI390_2147134	SAP	disrupted	HD
ClaPMI390_2149921	SAP	fragment	H-
ClaPMI390_2169891	SAP	disrupted	HD
ClaPMI390_2173412	SAP	disrupted	HD
ClaPMI390_2174219	SAP	disrupted	HD
ClaPMI390_2188177	SAP	disrupted	HD
ClaPMI390_2222892	SAP	disrupted	HE
ClaPMI390_2230456	SAP	fragment	H-
ClaPMI390_2233803	SAP	disrupted	HD
ClaPMI390_781590	SAP	fragment	--
Usnflo1_802364	LICHEN	disrupted	HG
Ruscya1_1496263	ECM	fragment	H-
Chapip1_1603995	ECM	fragment	H-
Chapip1_2932178	ECM	fragment	H-
Chapip1_2992563	ECM	fragment	H-
Chapip1_3007909	ECM	fragment	H-
Chapip1_858187	ECM	fragment	H-
Tulinq1_1352754	ORM	fragment	--
Tulinq1_1367940	ORM	fragment	--
Tulinq1_1422831	ORM	fragment	H-
Tulinq1_1436390	ORM	disrupted	HE
Tulinq1_1456877	ORM	disrupted	HE
Tulinq1_1514346	ORM	fragment	H-
Tulinq1_1531965	ORM	fragment	--
Tulinq1_1531967	ORM	disrupted	HD
Tulinq1_1551600	ORM	fragment	H-
Tulinq1_1553410	ORM	disrupted	HD
Tulinq1_1651669	ORM	fragment	H-
Tulinq1_1653787	ORM	disrupted	HD
Tulinq1_1656434	ORM	fragment	H-
Tulinq1_1656435	ORM	fragment	H-
Tulinq1_1659475	ORM	fragment	H-
Tulinq1_1661501	ORM	disrupted	HD
Tulinq1_1677229	ORM	disrupted	HE
Tulinq1_1677230	ORM	disrupted	HE
Tulinq1_267416	ORM	disrupted	GD
Tulinq1_408517	ORM	disrupted	HE
Tulinq1_41709	ORM	fragment	H-
Tulinq1_991565	ORM	disrupted	HA
Hetan2_104096	PATH	disrupted	HD
Hetan2_105463	PATH	fragment	H-
Hetan2_166613	PATH	fragment	H-
Hetan2_173373	PATH	disrupted	RD
Hetan2_181229	PATH	fragment	H-
Hetan2_58346	PATH	disrupted	HD
Hetan2_63659	PATH	disrupted	HE
Hetan2_64994	PATH	disrupted	HD
Hetan2_67582	PATH	fragment	H-
Hetan2_68440	PATH	fragment	H-
Lachen1_1579396	ECM	fragment	H-
Melbro1_53693	ECM	fragment	H-
Melbro1_55090	ECM	fragment	H-
Melbro1_55108	ECM	fragment	H-
Melbro1_66483	ECM	fragment	H-
Melbro1_66486	ECM	fragment	--
Melbro1_67533	ECM	fragment	H-
Melbro1_67536	ECM	fragment	H-
Melbro1_90300	ECM	fragment	H-
Melbro1_90954	ECM	fragment	H-
Suigla1_1917791	ECM	fragment	H-
Suigla1_2105590	ECM	fragment	H-
Suigla1_2117614	ECM	fragment	--
Ser405_1_1015690	ORM	disrupted	PD
Ser405_1_10197	ORM	fragment	H-
Ser405_1_1034123	ORM	disrupted	HG
Ser405_1_1043250	ORM	disrupted	HD
Ser405_1_1051398	ORM	fragment	F-
Ser405_1_1079600	ORM	fragment	H-
Ser405_1_1081524	ORM	fragment	H-
Ser405_1_1103454	ORM	disrupted	HD
Ser405_1_1103455	ORM	disrupted	HD
Ser405_1_1103456	ORM	disrupted	HE
Ser405_1_1105244	ORM	fragment	H-
Ser405_1_1113246	ORM	fragment	H-
Ser405_1_1114366	ORM	disrupted	HD
Ser405_1_1120634	ORM	fragment	H-
Ser405_1_1149408	ORM	fragment	H-
Ser405_1_156540	ORM	disrupted	QD
Ser405_1_158435	ORM	disrupted	HD
Ser405_1_388946	ORM	fragment	-S
Ser405_1_39154	ORM	disrupted	HE
Ser405_1_43041	ORM	disrupted	HD
Ser405_1_552183	ORM	fragment	H-
Ser405_1_673405	ORM	fragment	--
Ser405_1_71280	ORM	fragment	H-
Ser405_1_758232	ORM	disrupted	HE
Ser405_1_773025	ORM	fragment	H-
Ser405_1_824494	ORM	fragment	H-
Ser405_1_967110	ORM	disrupted	HR
Ser405_1_969957	ORM	disrupted	HD
Ser405_1_971470	ORM	fragment	H-
Ser405_1_983557	ORM	disrupted	HD
Suibru1_1_104301	ECM	fragment	H-
Suibru1_1_160373	ECM	fragment	H-
Suibru1_1_208809	ECM	fragment	H-
Rusrug1_1189081	ECM	fragment	H-
Rusrug1_143170	ECM	fragment	H-
Rusrug1_929557	ECM	fragment	H-
Suisub1_1300489	ECM	fragment	H-
Suisub1_1432126	ECM	fragment	H-
Xerpru1_2068405	ECM	fragment	H-
Xerpru1_2748239	ECM	fragment	H-
Xerpru1_3110698	ECM	fragment	H-
Suioch1_1231081	ECM	fragment	H-
Suioch1_1256137	ECM	fragment	H-
Suioch1_192653	ECM	fragment	H-
Rhisa1_160759	ECM	fragment	H-
Rhisa1_457061	ECM	fragment	H-
Rhisa1_773537	ECM	fragment	H-
Morco1_371808	ECM	disrupted	HD
Morco1_477988	ECM	disrupted	HG
Morco1_479335	ECM	disrupted	HD
Morco1_489886	ECM	fragment	H-
Morco1_496565	ECM	disrupted	HD
Morco1_503437	ECM	disrupted	HE
Morco1_511682	ECM	fragment	H-
Morco1_525075	ECM	disrupted	HD
Morco1_528062	ECM	disrupted	HD
Morco1_529410	ECM	disrupted	HT
Morco1_529761	ECM	disrupted	HD
Morco1_531575	ECM	disrupted	HE
Morco1_537011	ECM	disrupted	HG
Morco1_539356	ECM	fragment	H-
Morco1_542492	ECM	fragment	H-
Morco1_548222	ECM	fragment	H-
Morco1_562197	ECM	disrupted	HE
Morco1_568782	ECM	fragment	H-
Morco1_569285	ECM	disrupted	HD
Morco1_569589	ECM	disrupted	HS
Morco1_570436	ECM	disrupted	HS
Morco1_579669	ECM	disrupted	HD
Morco1_607802	ECM	fragment	H-
Phlbr1_114148	WD	fragment	-Q
Phlbr1_121052	WD	disrupted	HD
Phlbr1_126504	WD	disrupted	HV
Phlbr1_148659	WD	fragment	H-
Phlbr1_160890	WD	fragment	-D
Phlbr1_18564	WD	fragment	H-
Phlbr1_18565	WD	fragment	H-
Phlbr1_18949	WD	fragment	H-
Phlbr1_18950	WD	fragment	H-
Phlbr1_28028	WD	fragment	H-
Phlbr1_28029	WD	fragment	H-
Phlbr1_28350	WD	fragment	H-
Rhitru1_1063545	ECM	fragment	--
Rhitru1_305054	ECM	fragment	H-
Rhitru1_823652	ECM	fragment	H-
Rhitru1_905351	ECM	fragment	H-
Thacu1_145643	PATH	fragment	H-
Thacu1_189616	PATH	disrupted	HD
Thacu1_370044	PATH	fragment	H-
Thacu1_380514	PATH	fragment	H-
Thacu1_569714	PATH	fragment	H-
Thacu1_569983	PATH	fragment	H-
Thacu1_571431	PATH	disrupted	HD
Thacu1_574266	PATH	disrupted	HD
Thacu1_574447	PATH	disrupted	HD
Thacu1_575356	PATH	disrupted	HE
Thacu1_579274	PATH	disrupted	HD
Thacu1_580072	PATH	fragment	H-
Thacu1_581011	PATH	disrupted	HT
Thacu1_581174	PATH	disrupted	HT
Thacu1_596549	PATH	fragment	--
Thacu1_600618	PATH	disrupted	HT
Thacu1_602620	PATH	fragment	-G
Thacu1_620956	PATH	disrupted	HD
Thacu1_629457	PATH	fragment	H-
Thacu1_632695	PATH	disrupted	HE
Thacu1_678247	PATH	fragment	H-
Thacu1_695729	PATH	disrupted	HD
Thacu1_696491	PATH	disrupted	HD
Thacu1_696637	PATH	disrupted	HE
Thacu1_700169	PATH	disrupted	HE
Thacu1_705944	PATH	fragment	H-
Thacu1_706897	PATH	disrupted	HE
Thacu1_713368	PATH	fragment	H-
Thacu1_713369	PATH	fragment	H-
Thacu1_716179	PATH	fragment	H-
Thacu1_717338	PATH	fragment	H-
Thacu1_718673	PATH	disrupted	HE
Thacu1_722128	PATH	fragment	H-
Thacu1_723398	PATH	disrupted	HG
Thacu1_723579	PATH	disrupted	HD
Thacu1_736846	PATH	fragment	H-
Penswi1_309190	ECM	disrupted	HD
Penswi1_313096	ECM	disrupted	HG
Penswi1_319308	ECM	disrupted	HE
Penswi1_369049	ECM	disrupted	HE
Penswi1_385731	ECM	disrupted	HD
Corab1_1154547	ECM	fragment	H-
Corab1_1650219	ECM	disrupted	HG
Aurpu_var_pul1_246568	SAP	disrupted	HD
Aurpu_var_pul1_259217	SAP	disrupted	HD
Aurpu_var_pul1_264799	SAP	fragment	H-
Aurpu_var_pul1_271047	SAP	fragment	H-
Aurpu_var_pul1_271239	SAP	disrupted	HN
Aurpu_var_pul1_322913	SAP	fragment	H-
Amarub1_968658	ECM	fragment	H-
Ser400_1_1035840	ORM	fragment	H-
Ser400_1_1038690	ORM	fragment	H-
Ser400_1_1087141	ORM	disrupted	HE
Ser400_1_1098406	ORM	fragment	H-
Ser400_1_1113845	ORM	disrupted	HD
Ser400_1_1127714	ORM	disrupted	HD
Ser400_1_1131701	ORM	fragment	F-
Ser400_1_1132030	ORM	fragment	H-
Ser400_1_1169638	ORM	fragment	H-
Ser400_1_1170196	ORM	fragment	H-
Ser400_1_1171109	ORM	fragment	H-
Ser400_1_1171137	ORM	fragment	H-
Ser400_1_1174325	ORM	disrupted	HD
Ser400_1_1194821	ORM	fragment	H-
Ser400_1_1202266	ORM	disrupted	HD
Ser400_1_1202267	ORM	disrupted	HE
Ser400_1_1202271	ORM	disrupted	HE
Ser400_1_1210311	ORM	disrupted	HE
Ser400_1_127800	ORM	fragment	H-
Ser400_1_175164	ORM	fragment	H-
Ser400_1_178964	ORM	disrupted	HD
Ser400_1_311313	ORM	fragment	H-
Ser400_1_311343	ORM	fragment	H-
Ser400_1_39191	ORM	disrupted	HD
Ser400_1_396282	ORM	disrupted	HD
Ser400_1_681447	ORM	disrupted	HD
Ser400_1_69389	ORM	fragment	H-
Ser400_1_830977	ORM	fragment	-D
Ser400_1_908511	ORM	disrupted	HD
Ser400_1_908515	ORM	disrupted	HD
Ser400_1_908727	ORM	disrupted	HD
Leppa1_291030	SAP	disrupted	HY
Leppa1_404923	SAP	disrupted	HS
Lacaka1_1803816	ECM	fragment	H-
Lacaka1_1820643	ECM	fragment	H-
Lacaka1_1980117	ECM	fragment	H-
RusSA2_1_2099048	ECM	fragment	H-
RusSA2_1_2154495	ECM	fragment	--
RusSA2_1_2154739	ECM	fragment	--
RusSA2_1_2154976	ECM	fragment	--
RusSA2_1_2160870	ECM	disrupted	QN
RusSA2_1_2338162	ECM	fragment	--
RusSA2_1_2338185	ECM	fragment	H-
RusSA2_1_586151	ECM	fragment	--
RusSA2_1_588299	ECM	fragment	--
RusSA2_1_589141	ECM	fragment	--
RusSA2_1_589557	ECM	fragment	H-
Suicot1_1020134	ECM	fragment	H-
Suicot1_1051588	ECM	fragment	H-
Suicot1_1575638	ECM	fragment	H-
Suicot1_1610235	ECM	fragment	H-
Lactsubd1_3329503	ECM	fragment	H-
Lactsubd1_3753616	ECM	fragment	H-
Lactsubd1_3765198	ECM	fragment	H-
Lactsubd1_3904994	ECM	fragment	H-
Lactsubd1_3905256	ECM	fragment	H-
Lactsubd1_4050134	ECM	fragment	H-
Lactsubd1_4256972	ECM	fragment	H-
Laccon1_2041059	ECM	fragment	H-
Suibr2_130934	ECM	fragment	H-
Suibr2_816216	ECM	fragment	H-
Suigra1_1027175	ECM	fragment	H-
Suigra1_944573	ECM	fragment	H-
CorKIS3_1_1276882	ECM	fragment	H-
CorKIS3_1_1292088	ECM	disrupted	HG
Suiplo1_1415719	ECM	fragment	H-
Suiplo1_1431851	ECM	fragment	H-
Matter1_271330	ECM	disrupted	HD
Matter1_366676	ECM	disrupted	HG
Matter1_380754	ECM	disrupted	HD
Matter1_527700	ECM	fragment	K-
Matter1_536547	ECM	disrupted	HD
Matter1_712961	ECM	fragment	H-
Matter1_799792	ECM	fragment	H-
Matter1_825349	ECM	fragment	H-
Matter1_831389	ECM	disrupted	HG
Matter1_847045	ECM	disrupted	HE
Matter1_855551	ECM	fragment	H-
Matter1_859548	ECM	disrupted	HD
Matter1_868905	ECM	fragment	H-
Matter1_883774	ECM	fragment	H-
Matter1_885628	ECM	fragment	H-
Matter1_907664	ECM	disrupted	HN
Matter1_913208	ECM	disrupted	HN
Matter1_921839	ECM	disrupted	HD
Matter1_926052	ECM	disrupted	HD
Matter1_928118	ECM	fragment	-Q
Matter1_940386	ECM	fragment	H-
Matter1_956018	ECM	disrupted	HD
Matter1_980703	ECM	fragment	H-
Pismar1_2560953	ECM	fragment	H-
Pismar1_2578358	ECM	fragment	H-
Pismar1_2899701	ECM	fragment	H-
Ascim1_103425	SAP	disrupted	HS
Ascim1_116570	SAP	disrupted	HD
Ascim1_119008	SAP	disrupted	HQ
Ascim1_122039	SAP	disrupted	HS
Ascim1_201321	SAP	fragment	H-
Ascim1_202323	SAP	fragment	H-
Ascim1_203689	SAP	fragment	-D
Ascim1_204354	SAP	disrupted	HD
Ascim1_215774	SAP	disrupted	HE
Ascim1_232730	SAP	disrupted	HD
Ascim1_30491	SAP	fragment	H-
Ascim1_316910	SAP	fragment	H-
Ascim1_321630	SAP	fragment	H-
Ascim1_327688	SAP	fragment	H-
Ascim1_364696	SAP	disrupted	HG
Ascim1_366347	SAP	fragment	H-
Ascim1_375498	SAP	disrupted	HA
Ascim1_410121	SAP	disrupted	HD
Ascim1_410998	SAP	disrupted	HS
Ascim1_412537	SAP	disrupted	HD
Ascim1_412999	SAP	fragment	H-
Ascim1_413398	SAP	disrupted	HE
Ascim1_413889	SAP	disrupted	HM
Ascim1_413954	SAP	disrupted	HS
Ascim1_414300	SAP	fragment	H-
Ascim1_415671	SAP	fragment	H-
Ascim1_415875	SAP	fragment	H-
Ascim1_416250	SAP	disrupted	HD
Ascim1_418002	SAP	fragment	H-
Ascim1_419000	SAP	fragment	H-
Ascim1_419169	SAP	disrupted	HE
Ascim1_44451	SAP	fragment	H-
Ascim1_67612	SAP	disrupted	HD
Hypsu1_140540	WD	fragment	H-
Hypsu1_140929	WD	disrupted	HD
Hypsu1_143360	WD	fragment	H-
Hypsu1_146235	WD	fragment	H-
Hypsu1_198689	WD	disrupted	HE
Hypsu1_201512	WD	disrupted	HE
Hypsu1_207728	WD	fragment	H-
