portal	lifestyle	GH7	GH6	GH28	GH5
Lacbi2	ECM	0	0	3	18
LaccKIS6_1	ECM	0	0	3	34
Laccon1	ECM	0	0	0	8
Lacdel1	ECM	0	0	0	8
Lachat1	ECM	0	0	0	8
Lachen1	ECM	0	0	0	8
Lacind1	ECM	0	0	0	8
Lacpsa1	ECM	0	0	0	7
Lacpse1	ECM	0	0	0	8
Lacsan1	ECM	0	0	0	9
Lactab1	ECM	0	0	0	10
Lactsubd1	ECM	0	0	0	9
Lacviv1	ECM	0	0	0	9
Leppa1	SAP	0	0	4	9
Leuca1	ECM	1	3	2	6
Matter1	ECM	4	4	1	15
MelPMI1271_1	ERM	4	2	14	18
Melbi2	ERM	4	2	14	21
Melbro1	ECM	0	0	2	13
Melva1	ERM	9	4	16	26
Morco1	ECM	2	3	4	14
Muloch1	ECM	0	0	0	11
Neole1	WD	0	0	9	20
Neucr_trp3_1	SAP	4	3	2	6
Oidma1	ERM	6	2	19	19
Parsph2	ECM	0	0	4	13
Paxin1	ECM	0	0	3	13
Paxru2	ECM	0	0	2	13
Penswi1	ECM	2	1	6	12
Phchr2	WD	6	1	4	19
Phisc1	ENDO	7	3	19	28
Phlbr1	WD	4	1	4	22
Piclef1	ECM	0	0	4	5
Pilbys1	ECM	1	0	6	10
Pilsph1	ECM	0	0	8	12
Piscap1	ECM	0	0	1	8
Piscro1	ECM	0	0	1	10
Pismar1	ECM	0	0	1	8
Pismar721_1	ECM	0	0	1	10
Pismi_AB1_1	ECM	0	0	1	7
Pisthe1	ECM	0	0	2	10
Pisthe227_1	ECM	0	0	2	8
Piswes1	ECM	0	0	1	8
Pleost1	WD	14	3	5	18
Plicr1	WD	1	2	8	15
PosplRSB12_1	WD	0	0	7	17
Punst1	PATH	5	1	12	16
Ramac1	SAP	3	2	6	17
Rhier1	ERM	2	1	10	20
Rhisa1	ECM	0	0	2	17
Rhitru1	ECM	0	0	3	14
Rhivi1	ECM	0	0	3	12
RusKIS4_1_1	ECM	0	0	0	7
RusSA2_1	ECM	0	0	0	10
RusbicECM9_1	ECM	0	0	0	8
Rusbre1	ECM	0	0	0	9
Ruscom1	ECM	0	0	0	10
Ruscya1	ECM	0	0	0	16
RusdecM1	ECM	0	0	0	10
Rusdis1	ECM	0	0	0	10
Rusear1	ECM	0	0	2	12
Ruseme1	ECM	0	0	0	8
Rusnee1	ECM	0	0	0	9
Rusoch1	ECM	0	0	0	10
Rusrug1	ECM	0	0	0	7
Russem1	ECM	0	0	0	7
Rusvin1	ECM	0	0	0	9
Schco3	WD	2	1	3	16
Sclci1	ECM	0	0	3	8
Sclyun1	ECM	0	0	2	6
Sebve1	ORM	5	4	4	28
Ser400_1	ORM	1	3	3	26
Ser405_1	ORM	0	3	3	28
Ser411_1	ORM	1	3	2	28
Serend1	ORM	1	3	3	28
Sisni1	WD	3	4	2	23
Sphst1	WD	8	4	10	28
Stasp1	PATH	4	4	5	17
SuiFC429_1	ECM	0	0	3	17
Suiac1	ECM	0	0	4	17
Suiame1	ECM	0	0	4	17
Suibr2	ECM	0	0	3	16
Suibru1_1	ECM	0	0	3	18
Suicol1	ECM	0	0	5	15
Suicot1	ECM	0	0	5	18
Suidis1	ECM	0	0	5	17
Suielb1	ECM	0	0	3	13
Suifus1	ECM	0	0	6	15
Suigla1	ECM	0	0	3	19
Suigra1	ECM	0	0	3	15
Suilquie1	ECM	0	0	2	15
Suioch1	ECM	0	0	3	14
Suipic1	ECM	0	0	3	20
Suiplac1	ECM	0	0	2	14
Suiplo1	ECM	0	0	6	15
Suipse1	ECM	0	0	3	14
Suipun1	ECM	0	0	3	15
Suipunc1	ECM	0	0	5	14
Suiqui1	ECM	0	0	2	15
Suisu1	ECM	0	0	4	16
Suisub1	ECM	0	0	2	16
Suitom1	ECM	0	0	5	15
Suivar1	ECM	0	0	5	15
Suivis2	ECM	0	0	3	15
Suqu222_1	ECM	0	0	3	15
Suqu227_1	ECM	0	0	3	15
Tercla1	ECM	1	0	1	8
Thacu1	PATH	11	3	28	27
Theter1	ECM	0	0	3	14
Tirniv1	ECM	0	1	1	5
Treme1	WD	0	0	0	13
Trihyb1	ECM	0	1	1	5
Trima3	ECM	2	0	1	13
Tripop1	ECM	1	0	1	15
Trire2	SAP	2	1	4	8
Tubcan1	ECM	0	0	1	4
Tubgib1	ECM	0	0	1	5
Tubmel1	ECM	0	0	2	6
Tulca1	ORM	12	6	6	31
Tulinq1	ORM	12	2	13	35
Tulsp812A_1	ORM	16	5	15	28
Tylfel1	ECM	0	0	2	12
Usnflo1	LICHEN	0	0	2	7
Walse1	SAP	0	0	0	9
Wican1	YEAST	0	0	0	4
Wilmi1	ECM	0	2	1	7
Xerpru1	ECM	0	0	2	15
Xylhe1	ENDO	0	0	0	5
